Matchup,Shock,Model,Agent1_Avg_Prices,Theo_Prices,Agent2_Avg_Prices,Theo_Prices_2,Agent1_Delta,Agent2_Delta,Agent1_RPDI,Agent2_RPDI
DQN vs DQN,A,LOGIT,1.67,1.8,1.67,1.8,-1.49,-1.48,-0.45,-0.45
DQN vs DQN,A,HOTELLING,1.14,1,1.14,1,0.54,0.53,0.57,0.57
DQN vs DQN,A,LINEAR,0.47,0.43,0.47,0.43,0.77,0.76,0.63,0.63
DQN vs DQN,B,LOGIT,1.66,1.54,1.66,1.54,0.23,0.23,0.29,0.29
DQN vs DQN,B,HOTELLING,1.12,1,1.12,1,0.46,0.44,0.48,0.49
DQN vs DQN,B,LINEAR,0.47,0.43,0.47,0.43,0.12,0.1,0.56,0.57
DQN vs DQN,C,LOGIT,1.67,1.91,1.67,1.91,-2.79,-2.83,-0.86,-0.86
DQN vs DQN,C,HOTELLING,1.15,1,1.15,1,0.58,0.57,0.61,0.6
DQN vs DQN,C,LINEAR,0.47,0.43,0.47,0.43,1.36,1.34,0.63,0.64
DQN vs DDPG,0,LOGIT,1.692,1.473,1.789,1.473,0.849,0.094,0.484,0.7
DQN vs DDPG,0,HOTELLING,1.133,1,1.097,1,0.336,0.317,0.532,0.388
DQN vs DDPG,0,LINEAR,0.468,0.429,0.421,0.429,-0.824,-13.445,0.551,-0.099
DQN vs DDPG,A,LOGIT,1.64,1.8,1.43,1.8,-4.13,-1.73,-0.54,-1.25
DQN vs DDPG,A,HOTELLING,1.14,1,1.17,1,0.66,0.52,0.57,0.69
DQN vs DDPG,A,LINEAR,0.47,0.43,0.49,0.43,0.79,0.78,0.62,0.8
DQN vs DDPG,B,LOGIT,1.63,1.54,1.43,1.54,-0.81,0.21,0.23,-0.26
DQN vs DDPG,B,HOTELLING,1.13,1,1.1,1,0.35,0.46,0.52,0.39
DQN vs DDPG,B,LINEAR,0.47,0.43,0.46,0.43,0.09,0.09,0.56,0.41
DQN vs DDPG,C,LOGIT,1.65,1.91,1.43,1.91,-6.36,-3.28,-0.94,-1.73
DQN vs DDPG,C,HOTELLING,1.15,1,1.22,1,0.8,0.59,0.6,0.86
DQN vs DDPG,C,LINEAR,0.47,0.43,0.47,0.43,1.36,1.32,0.63,0.63
DDPG vs DDPG,0,LOGIT,1.72,1.47,1.72,1.47,0.46,0.45,0.55,0.56
DDPG vs DDPG,0,HOTELLING,1.13,1,1.13,1,0.49,0.52,0.53,0.51
DDPG vs DDPG,0,LINEAR,0.44,0.43,0.44,0.43,0.12,0.11,0.22,0.22
DDPG vs DDPG,A,LOGIT,1.69,1.8,1.7,1.8,-1.58,-1.7,-0.37,-0.34
DDPG vs DDPG,A,HOTELLING,1.12,1,1.15,1,0.55,0.45,0.48,0.59
DDPG vs DDPG,A,LINEAR,0.48,0.43,0.48,0.43,0.78,0.77,0.67,0.72
DDPG vs DDPG,B,LOGIT,1.72,1.54,1.71,1.54,0.2,0.25,0.45,0.43
DDPG vs DDPG,B,HOTELLING,1.13,1,1.11,1,0.41,0.49,0.51,0.44
DDPG vs DDPG,B,LINEAR,0.46,0.43,0.46,0.43,0.07,0.09,0.49,0.39
DDPG vs DDPG,C,LOGIT,1.66,1.91,1.63,1.91,-3.71,-3.35,-0.89,-0.99
DDPG vs DDPG,C,HOTELLING,1.16,1,1.19,1,0.71,0.59,0.63,0.77
DDPG vs DDPG,C,LINEAR,0.48,0.43,0.47,0.43,1.36,1.31,0.71,0.57
